term,match1,match2,match3,match4,match5
veinotonyl,ventolin,ventolin,minoton,vetoryl,vetropolycin
velmetia,veletri,veltin,veltin,veltin,veltin
velosalic,velosulin,velosulin,velosulin,velosulin,velosulin
vena cava filter insertion,venlafaxine tablet,venofer,venlafaxine m/r capsule,ventavis,venlafaxina
venalot                            /06844701/,venaxx xl,ventra,ventuss,vendone,ventuss
venos expectorant,entuss expectorant,entuss expectorant,endal expectorant,endal expectorant,endal expectorant
venyl,aventyl,venelex,vecamyl,vetoryl,ventolair
vertigoheel                        /00691301/,vertine,verticalm,verteporphin,vertab sr,verteporfin
vibrocil                           /01086201/,vibrox,vibramycin,vibramycin,vibal,vibramycin-d
viccillin-s,bicillin-5,bicillin,bicillin,vitacilina,vitacilina
vicks inhaler,vicks,vicks,vicks,vicks 44e,vicks 44e
vindesine sulfate,vindesine sulf,vindesine (substance),vindesine,vindesin,vincristine sulf
vioform+hydrocortisone,vioform-hydrocort,vioform-hydrocort,vioform-hydrocort,9-fluorohydrocortisone,9 fluorohydrocortisone
virasolve,virazole,viranol,virasal,virasal,virasorb
visine true,visine,visine,visine,visine pure tears,visine pure tears
visipaque                          /01225301/,visine,visine,visine,visage,visine ac
vitamin-b-komplex standard,vitamin a,vitamin a,vitamin a,vitamin a,vitamin bt
vitamin c w/vitamin d nos/vitamin e,vitamin a/vitamin d oral liquid,vitamin a/vitamin d oral tablet,vitamin a/vitamin d oral liquid,vitamin a/vitamin d oral tablet,vitamin a/vitamin d oral liquid
vitamin f,vitamin a,vitamin c,vitamin e,vitamin g,vitamin h
vitaminum                          /01692601/,vitamin m,vitamin c,vitamin e,vitamin g,vitamin h
vitathion                          /06366901/,vita e,vitamin c,vitamin e,vitamin g,vitamin c
vitex agnus-castus,vit a,vita-e succinate,vita-plus e natural,vitekta,vita-e
vitis vinifera seed extract,vit a,vit e,vit e,visine tired eye relief,visine tired eye relief
vitol                              /00404001/,vit a,vit b,vit d,vitazol,vitazol
vivimed                            /00056301/,vividrin,vivicrom,vividrin,vividrin,vivitrol
vosol hc otic,vosol hc,vosol hc,vosol hc,vosol hc,vosol hc
water bath hydrotherapy,"watersoluble, hepatotropic x-ray contrast media","watersoluble, nephrotropic, high osmolar x-ray contrast media",atra,wartrol,wartrol
"watersolu.,nephrot.,low osm.x-ray contrastm.","watersoluble, nephrotropic, low osmolar x-ray contrast media","watersoluble, nephrotropic, high osmolar x-ray contrast media",wal-sleep z,wal-sleep z,trp
white soft paraffin,white arsenic,white mineral oil,whitfields ointment,whitfields ointment,whitfield's ointment
wick formel 44 plus                /01199201/,ikorel,omep,fml,fml,fml
xantocillin,oxacillin,xanthacridinum,xanthotoxin,xanthotoxin,oxacilline
xin pa er ke,xipamide,xs pain reliever,cinaziere,xenaderm,oxine
yeast and iron,yeast-x int,yeast-x int,yeast-x int,yeast-x int,yeast-x int
yellow phenolphthalein,yellow fever,yellow fluorescein,yellow fever vaccines,yellow fever vaccine product,"yellow fever, live attenuated"
z-bec                              /00502701/,bc,bc,bc,bc,z-cof
zacpac,zacco,zantac,zaptec,zaptec,zapain
zea mays extract,zeasorb,zeasorb,zeasorb,zeasorb,zeasorb
zeel,zentel,zeebral xl,zelleta,zoely,zelmac
zeet expectorant                   /02195001/,zetran,zebeta,zemon,zephiran,zephiran
zefnart,zensa,zensa,zensa,zensa,zensa
zicam                              /01792001/,zicam cough,zicam cough plus d,zicam cough plus d,zicam cough plus d,zicam cough plus d
zinc amino acid chelate,zinc omadine,zinc (as zinc acetate),zinc acetate topical,zinc acetate [chemical/ingredient],zincaband
zinc oxide ointment,zincon,zinc protein complex,zinc pyridinethione,zinc,zinc compound
vitamins                           /90003601/,vitamins,vitamins,vitamin e,vitamin g,vitamin h
aludrox                            /00082501/,aludrox,aldrox,alum,ado,alum ox
eugynon                            /00022701/,eugynon,eugynon,eugynon,eugynon,eugynon
augmentin                          /00756801/,augmentin,augmentin-duo,amen,amen,amen
tylox                              /00446701/,tylox,tylox,tyloxapol,tylophen,tyloxapol (substance)
seretide                           /01420901/,seretide,seretide,serenace,serevent,serelaxin
procet                             /01554201/,procet,procet,procort,procort,procort
gaviscon                           /01405501/,gaviscon,gaviscon,gaviscon,gaviscon-2,gaviscon lem
mylanta                            /00036701/,mylanta,mylanta,mylanta,mylafent,mylagen
ocuvite                            /01053801/,ocuvite,ocuvite,ocuvite,ocuvite,ocuvite
prinzide                           /00977901/,prinzide,prinzide,prinize,prinize,principen
gaviscon                           /00237601/,gaviscon,gaviscon,gaviscon,gaviscon-2,gaviscon lem
hyzaar                             /01284801/,hyzaar,hyzaar,hyzine,hypam,hydro q
norgesic                           /00070401/,norgesic,norgesic,norgesic,norgesic,norgeston
actifed                            /00005601/,actifed,actifed,actd,actiq,actiq
carace plus                        /01613901/,carace plus,carace plus,carace,care,care
maalox                             /00091001/,maalox,maalox,maalox,maalox tc,maalox max
tylex                              /00547501/,tylex,tylox,tylefon,tylefon,tylenol cold infants reformulated jun 2007
arthrotec                          /01182401/,arthrotec,arthrotec,arthrotec,arthrotec,arthrotec
human mixtard                      /00806401/,human mixtard,human mixtard,human mixtard,human mixtard,human mixtard
allegra-d                          /01367401/,allegra-d,allegra-d,allegra,allerx-d,allerx-d
axotal                             /00727001/,axotal,axotal,axotal,axocet,axalid
daflon                             /02311201/,daflon,dfo,df,danol,dalgan
nulytely                           /01053601/,nulytely,nulytely,nulytely,nulytely,nulytely
bufferin                           /00009201/,bufferin,bufferin,bufferin,buff,buffex
folacin                            /00198401/,folacin,folamin,folamin,folbalin,folbalin
proctosedyl                        /00095901/,proctosedyl,proctosedyl,proctosedyl,proctosol,proctosol
colyte                             /00751601/,colyte,colyte,colyte,colyte,colyte
gelusil                            /00066101/,gelusil,gelusil,gelusil,gelofusine,gel-tin
magnesium citrate                  /00231901/,magnesium citrate,magnesium citrate,magnesium citrate,magnesite,magnesium orotate
tussionex                          /00140501/,tussionex,tussionex,tussirex,tussirex,tussirex
anusol                             /00117301/,anusol,anusol,anusol hc,anusol hc,anusol hc
cetacaine                          /00556501/,cetacaine,cetacaine,cetacaine,cetacaine,cetacaine
cosopt                             /01419801/,cosopt,cosopt,cosopt,cosopt pf,cosopt pf
ocuvite                            /01762701/,ocuvite,ocuvite,ocuvite,ocuvite,ocuvite
benadryl                           /01563701/,benadryl,benadryl,benuryl,bentyl,bensal
cacit                              /00987301/,cacit,cacit,cacit d,cc,caco3
calcium                            /01725101/,calcium,calcium,calcid,calcid,calci-mix
contac                             /00014501/,contac,contac,contac cold,contac 12 hour,contac 12 hour
lotrel                             /01289101/,lotrel,lotrel,lotronex,lotrisone,lotrisone
madopar                            /00349201/,madopar,madopar cr,mapap,ado,maxepa
paramax                            /00495101/,paramax,paramol,paramed,paramed,paramed
sustanon                           /00418401/,sustanon,sustain,sustol,sustac,sustac
tussend                            /00347401/,tussend,tussend,tussend,tussin v,tussin v
alka-seltzer                       /00057201/,alka-seltzer,alka-seltzer,alka-seltzer,alka-seltzer,alka-seltzer
betnesol-n                         /00203601/,betnesol-n,betnesol-n,betnesol-n,betnesol,betnesol
buspiron                           /00791501/,buspiron,buspirona,buspirone,buspironum,buspar
calcium-sandoz                     /00009901/,calcium-sandoz,calcium-sandoz,calci-d,calcid,calcidiol
calcium                            /01618901/,calcium,calcium,calcid,calcid,calci-mix
codafen                            /01182601/,codafen,codafen,codafed,codafed,codafed
demazin                            /00365701/,demazin,demazin,demadex,dmi,dermazinc
dextran 40,dextran,dextranomer,dextran (substance),dextrostat,dextrorazoxane
dozol                              /00435101/,dozol,dozic,dozine,doxal,docal
excedrin                           /00214201/,excedrin,excedrin,excedrin,excedrin,excedrin
librax                             /00033301/,librax,libritabs,librium,librax reformulated aug 2006,librax reformulated aug 2006
limbitrol                          /00164901/,limbitrol,limbitrol,lime-nitrogen,limifen,limovan
lomotil                            /00034001/,lomotil,lomotil,lomotil,lomocot,lomocot
marcaine with epinephrine          /00879801/,marcaine with epinephrine,marcaine with epinephrine,marcaine with epinephrine,marcaine with epinephrine,marcaine with epinephrine
maxidex                            /00207701/,maxidex,maxidex,maxidex,maxidex,maxidex
maxitrol                           /00393601/,maxitrol,maxitrol,maxitrol,maxitrol,maxitrol
neosporin                          /00130801/,neosporin,neosporin,neosporin af,neosporin af,neosporin af
quinamm                            /00172101/,quinamm,quinja,quinora,quindal,quindal
tears naturale                     /00635701/,tears naturale,tears naturale pm,tears naturale forte,tears naturale forte,tears naturale forte
anacin                             /00141001/,anacin,anacin,anacin,anacin,anacin af
azor                               /06230801/,azor,azo,azopt,azo gesic,azt
bioflavonoids                      /90016201/,bioflavonoids,biofenac,bioflavonoid drugs for capillary stabilizing,biozide,biozide
evra /gfr/,evra,evra,evg,derma gran,evoltra
fiorinal                           /00090401/,fiorinal,fiorinal,fiorinal,fiorinal,fiortal
fleet                              /01605601/,fleet,fleet,fleet,fleet,fleet relief
heparin 50000-ratiopharm,heparin group,heparin,heparin,heparinate,"heparin, unfractionated"
kaletra                            /01506501/,kaletra,kaleorid lp,kalten,katya,katya
multivitamins with minerals        /90003801/,multivitamins with minerals,multivitamin with iron,"multivitamins, plain","multivitamins, plain","multivitamins, other combinations"
normacol                           /00119401/,normacol,normacol,normasol,normasol,norco
proctofoam                         /00646301/,proctofoam,proctofoam,procof,procof,proctofoam hc
proctosedyl                        /01681101/,proctosedyl,proctosedyl,proctosedyl,proctosol,proctosol
robitussin                         /00288801/,robitussin,robitussin pe,robitussin ac,robitussin dm,robitussin pe
terra-cortril                      /00163101/,terra-cortril,terra-cortril,terra-cortril,terra-cortril,terra-cortril
titralac                           /00183701/,titralac,titralac,titralac plus,titralac plus,tac
tylenol pm                         /01088101/,tylenol pm,tylenol pm,tylenol pm,tylenol,tylenol cough
advil pm                           /05810501/,advil pm,advil pm,advil pm,advil pm,advil pm
akwa tears                         /01635801/,akwa tears,akten,akten,akten,akten
alka-seltzer                       /01754201/,alka-seltzer,alka-seltzer,alka-seltzer,alka-seltzer,alka-seltzer
allegra-d                          /01413301/,allegra-d,allegra-d,allegra,allerx-d,allerx-d
bactrim                            /00086101/,bactrim,bactrim,bactine,bactine,bactine
bepanthen                          /01634501/,bepanthen,bpn,bentex,benph,benzapen
betadine                           /01728201/,betadine,betadine,betadine,betadine,betadine
caladryl                           /00138901/,caladryl,caladryl,calan,caladryl clear,caladryl clear
caladryl                           /01554901/,caladryl,caladryl,calan,caladryl clear,caladryl clear
cernevit                           /01027001/,cernevit,cernevit,cernevit,certiva,certiva
chloromycetin                      /00258701/,chloromycetin,chloromycetin,chloromycetin,chloromycetin,chloromycetin
clarinex-d 24-hour,clarinex-d,clarinex-d,clarinex,clarine,clarine
combivent                          /01261001/,combivent,combivent,combivent udvs,combivir,combigan
cyclo-progynova                    /00346801/,cyclo-progynova,cyclo-progynova,cyclo-progynova,cyclo-progynova,cyclo-progynova
daivobet                           /01643401/,daivobet,daivobet,daivobet,daivobet,daivobet
duratuss hd                        /01340401/,duratuss hd,duratuss hd,duratuss hd,duratuss,duratuss
eludril                            /00914501/,eludril,eludril,eluden,elpi,ella
emetrol                            /00327401/,emetrol,emetrol,emetrol,emetrol,emetrol for nausea
entex                              /00567601/,entex,entex t,entex t,entex er,entex hc
eucerin                            /01160201/,eucerin,eucerin,e,eucardic,eulexin
excedrin /usa/,excedrin,excedrin,excedrin,excedrin,excedrin
hemocane                           /01349201/,hemocane,hemoban,hemocyte-c,hemocyte-c,hemocyte-f
hydromol                           /00906601/,hydromol,hydromol,hydromol,hydromol,hydro q
icar-c plus                        /01750801/,icar-c plus,icar-c plus,icar-c plus,icar-c plus,icar-c plus
kaopectate                         /00140201/,kaopectate,kaopectate 1-d,kaopek,kaopectate child,kaopectate (obsolete)
movelat                            /00479601/,movelat,movelat relief,moventig,mea,met
movicol                            /01749801/,movicol,movicol,movicox,movicol plain,movicol plain
multibionta                        /00111701/,multibionta,multibionta,multibionta,multihist d,multihist d
normacol                           /06843301/,normacol,normacol,normasol,normasol,norco
notuss                             /01603401/,notuss,notuss,notuss,notuss pd,notuss pe
novolin                            /01449801/,novolin,novolin,novolin,novolin,novolin
oilatum 1,oilatum,oilatum jnr,oilatum plus,olaratumab,zerolatum plus
omega                              /01454401/,omega,omep,omedia,omedia,omedia
phenergan with codeine             /00072201/,phenergan with codeine,phenergan with codeine,phenergan with codeine,phenergan,phenergan vc
polytar                            /00617801/,polytar,polytar,polytar af,poly d,poly d
preparation h                      /01570901/,preparation h,preparation h,preparation h,preparation h,preparation h
protuss                            /00510701/,protuss,protuss,protuss d,protuss d,protuss d
quibron                            /00083601/,quibron,quibron,quibron t sr,quibron-t,quibron tsr
solivito n                         /01801401/,solivito n,solivito n,solivito n,soliris,solodyn
terra-cortril                      /00256101/,terra-cortril,terra-cortril,terra-cortril,terra-cortril,terra-cortril
teveten                            /01679701/,teveten,teveten hct,teveten hct,ten,temetex
trimovate                          /00456501/,trimovate,trimopan,trivase,trivase,triatec
tussionex                          /01623001/,tussionex,tussionex,tussirex,tussirex,tussirex
ultraproct                         /00225401/,ultraproct,ultracet,ultram,ultra mop,ultra mop
ultraproct                         /01707601/,ultraproct,ultracet,ultram,ultra mop,ultra mop
veganin                            /00055401/,veganin,vega,vega,vega,vega
viscoat                            /00936401/,viscoat,viscogel,viscogel,viscotears,visco-gel
viscoat                            /01834201/,viscoat,viscogel,viscogel,viscotears,visco-gel
d2e7,d,des,des,dhea,dex4
oxycodone/apap                     /01601701/,oxycodone,oxycone,oxycodone hcl,oxycide,oxycide
