term,slct,second_class,match1,match2,match3,match4,match5
salicylates nos,1,,"salicylate, sodium",salicylamide,salicylamide (substance),salicylic acid (substance),salicylic acid (substance)
salvia miltiorrhiza,Non,,salvax,salamol,salamol,salitop,salitop
salvia miltiorrhiza root,Non,,salvax,salvax,salamol,salitop,salitop
salvia officinalis,Non,,salvacyl,salac,salac,salacyn,salacyn
salvia officinalis extract,Non,,salvacyl,salac,salol,salivacaine,salivacaine
sancos co,Non,,sancuso,sano log,sano log,sano log,sano log
sangobion,Non,,sandoglobulin,sandoglobulin,ancobon,ancobon,sandoglobulin nf
sangobion                          /00439201/,Non,,sa,sa,sangcya,sangcya,sano log
saquinavir mesilate,1,,saquinavir mesyl,saquinavir,saquinavir (substance),saquinavir [chemical/ingredient],saquinivir
saridon                            /00048501/,Non,,sa,sa,sarilumab,ado,saluron
sarna,Non,,sarna ultra,sarna ultra,sarna sensitive,sarna sensitive,sarafem
sarpogrelate,Non,,saruplase,sapropterina,sargramostim,salmaterol,salmeterol
scheriproct n                      /00212301/,1,,scheriproct,schering pc,schering pc4,schering pc4,schering pc4
scopolia carniolica extract,Non,,scopolamine topical,scopolamine topical,scopolamine topical,scopolamine,scopolamine
scutellaria lateriflora,Non,,stelara,sular,taliglucerase alfa,sabalis serrulatae fructus,ara a
secbutabarbital,Non,,secobarbital,secobarbitalum,secobarbital (substance),secura,secura
sedatif pc,Non,,sedapap,senatec,senatec,secalip,senatec
selbex,Non,,sebex,sebex,sebex,sebulex,sebulex
selenium-ace,1,,selenium,selenium sulfide,selenium sulphide,selenium compound,selegilinum
seletop-c,Non,,selestoject,selestoject,selestoject,selestoject,selestoject
senega and ammonia,1,,senega,senexon,senna preparation,sentry aq mardel maracyn-oxy,senaglinide
sensorcaine w/epinephrine bitartrate,1,,sensorcaine with epinephrine,sensorcaine with epinephrine,sensorcaine with epinephrine,sensorcaine with epinephrine,sensorcaine with epinephrine
seretide                           /01420901/,1,,seretide,seretide,serenace,serevent,serelaxin
serpasil-esidrix,1,,serpasil,serpazide,serpazide,serpazide,serpex
serum lipid reducing agents,lipid modifying agents,,sermorelin acet,serum gonadotrophin,sermorelin (substance),sermorelin (substance),serpex
sevelamer carbonate,2,,sevelamero,sevelamer (substance),sevelamer,sevelamerum,sevelamer [chemical/ingredient]
shampoos,Non,,sam,sa,stamoist,stamoist,sulphamoxole
sibutramine hydrochloride,1,,sibutramine,arginine hydrochloride,sibutramina,sibutraminum,sibutramine [chemical/ingredient]
sil-norboral,Non,,silenor,sileo,silvera,silvera,silvera
silibinin                          /01165401/,Non,,siliq,silimarin,silicone,silicones,silkis
simeco                             /00416501/,Non,,simcor,simcor,simcor,simeticone,simuc
sinupret                           /00578801/,Non,,sinuvent,sinuvent,sinupan,sinutab,sinupan
sinusitis-komplex-hevert,1,,sinumist,sinuson,sinuson,sinuhist,sinuhist
sitosterol,Non,,stilboestrol,stilboestrol,stilboestrol,stilphostrol,stilphostrol
slippery elm,Non,,clipper,ery,ery,ery,sofiperla
smallpox vaccine,1,,smallpox vaccine live vaccinia virus,"smallpox, live attenuated",salivacaine,salivacaine,salivacaine
smecta                             /00837601/,Non,,sa,sa,mea,mta,met
smp,Non,,simponi,semprex,smz,smx,simplene
sodium bromide,Non,,sodium diborate,sodium fluoride,sodium chloride,sodium fluoride,sodium chloride
sodium carbonate anhydrous,Non,,sodium hydrogen carbonate,sodium hydrogen carbonate,sodium hydrogencarbonate,sodium hydrogencarbonate,sodium bicarbonate
sodium citrate acid,1,,sodium citrate,sodium citrate (substance),"sodium citrate, unspecified form",sodium citrate oral solution,sodium nitrite
sodium iodide,1,,sodium iodide i123,sodium iodide i-123,"sodium iodide,i-123",sodium iodide i^123^,"sodium iodide, i-123"
sodium iodide (123 i),1,,sodium iodide (123i),sodium iodide (131i),sodium iodide (124i),sodium iodide (131i),"sodium iodide, i-123"
sodium lactate,Non,,sodium acetate,sodium sulfate,sodium sulfate,sodium apolate,sodium salicylate
sodium perchlorate,Non,,sodium perborate,sodium merthiolate,sodium picosulfate,sodium glycerophosphate,sodium benzoate
sodium pertechnetate (99m tc),Non,,sodium feredetate,sodium edetate,sodium tetradecyl sulfate (substance),pertechnetate-99tc,sodium
sodium w/potassium phosphate,Non,,sodium phosphate,sodium phosphate,sodium phosphate,"sodium, pentosan polysulphate","sodium, pentosan polysulphate"
sofracort,Non,,soframycin,soframycin,soframycin,sofratulle,sofradex
soframycin comp. m. flumeprednisolon,1,,soframycin,soframycin,soframycin,sofratulle,soap
soframycine naphtazoline,1,,soframycin,soframycin,soframycin,sorine,sofradex
soft soap,Non,,softkote,softsoap antibacterial,softsoap antibacterial,softsoap antibacterial,soft dine
solita-t no.2,Non,,solian,solivito n,solivito n,soltamox,solganol
solita-t1,Non,,solian,soliqua,soliqua,soltamox,orlistat
solita-t3,Non,,solian,soliqua,soliqua,soltamox,orlistat
solivito n                         /01801401/,,,solivito n,solivito n,solivito n,soliris,solodyn
solosite,Non,,solosec,soloxide,soloxide,soltel,solotuss
solpadeine,2,,solpadeine max,solpadeine plus,solpadeine headache,solpadeine max solb,solatene
solpadeine                         /00154101/,5,,solpadeine max,solprin,solprin,solprin,solpadol
solvex                             /00150901/,Non,,solv x,solv x,solvent yellow 94,solage,solage
solvipect,Non,,solvazinc,solis,soloc,solifenacin,serdolect
solvipect comp,Non,,solv x,solv x,solvent yellow 94,soltel,solfoton
sonrisal,Non,,soni-slo,soni-slo,syrisal,soneryl,sorbid sa
sorbit hartman,Non,,sorbitrate,sorbitrate,sorbisterit,sorbid sa,sorbid sa
sorbitol lactated ringer's,3,,sorbide nitrate,sorbide nitrate,sorbitol,sorbitol,sorbitol
spagulax au sorbitol,Non,,sparfloxacin (substance),spaglumic acid,spaglumic acid,spacol tablet,spacol tablet
spasfon                            /00765801/,Non,,spasmonal,spasmolin,spasmolin,spasmolin,spasmolin
spasmo-mucosolvan,Non,,spasmotalin,spasmolin,spasmolin,spasmolin,spasmolin
spektramox,Non,,pramox,pramox,septra,septra,spectogard
spersadexolin,Non,,spasmolin,spasmolin,spasmolin,spasmolin,spasmolin
spersadexoline                     /01515401/,Non,,spedra,sprilon,serax,ssd,spacol
spilactone-t,2,,spiroctan,spirolactone,silicone,septocaine,septocaine
spinal anaesthesia,Non,,spinraza,sinarest nasal,sinarest nasal,sinarest nasal,spironolactone (substance)
"spleen extract, proteinfree",Non,,spedra,slt,slt,silver nitrate topical,serenity natural progesterone
ssri,Non,,srif,spastrin,spastrin,sasapyrine,sasapyrinum
staloral                           /05714301/,Non,,stalevo,stalevo,salol,statrol,statrol
steroid therapy,Non,,thyroid therapy,steribath,steribath,steribath,steribath
stick zenol,Non,,stiripentol,stiripentolum,stilbestrol,stilbestrol,stilbestrol
stilpane,Non,,stilline,siltane,stanek,stelazine,steripaste
stilpane                           /01366801/,Non,,stilline,stilnox,stilnoct,stilbestrol,stilbestrol
stodal,Non,,stadol,stadol ns,istodax,temodal,sudal
stomatological preparation,1,,stomatological preparations,stomatological preparations,somatostatin preparation,stanozolol preparation,lactoflavin preparation
"stomatologicals, mouth preparations",1,,stomatological preparations,stomatological preparations,sts,stanozolol preparation,stramoni preparations
stomilase,Non,,tolinase,soma,stimate,solage,solage
streptodornase,Non,,streptase,streptokinase,streptoduocin,streptozocine,streptogramins
stresstabs                         /00512101/,Non,,strepsils,strepsils,strepsils,strepsils,strensiq
strocain,Non,,trocaine,trocaine,trocaine,trocaine,streptomycin
strontium,1,,strontium ranelate,steproninum,estronum,estronum,strontium (89sr) chloride
strophanthin-k,4,,strophanthin g,g-strophanthin,g strophanthin,k-strophanthin-alpha,strophanthus glycosides
strovite,Non,,strongid,stridex,striant,stridex,estropipate
subvitan,Non,,sutan,sutan,subvenite,subcuvia,subcuvia
sufentanil citrate,1,,sufentanil,sufentanilo,sufentanil (substance),sufentanyl,sufenta
sulbactam sodium,1,,sulbactam,sulfacetamidum,sulfacetamidum,sulphacetamidum,sulphacetamidum
sulfacet,1,,sulfacet-r,sulfacet-r,sulfacet-r,sulfac,sulfac
sulfamethoxazole sodium,1,,sulfamethoxazole,sulfamethoxazole (substance),sulfamethizolum,sulfamethizolum,sulfamethizolum
sulfocamphocain,Non,,sulfoam,sulforcin,sulforcin,sulforcin,sulfamethazine
sulperazon,Non,,sulpor,sulparex,suprenza,sulphamerazine,sulphamerazine
sunitinib malate,1,,sunitinib,sunitinibum,sunitinib (substance),sunitinib [chemical/ingredient],sunbalance
sunsense                           /01093901/,Non,,sunveniz xl,sunya,sunya,sunya,sunya
supradyn,Non,,suprane,supred,supred,supred,supred
supradyn                           /00453001/,Non,,suprane,supred,supred,supred,supred
supradyn weight smart,Non,,suprane,supred,supred,supred,supred
supragesic                         /01152401/,Non,,suprane,supac,supac,supac,supac
surbex-t,Non,,sure-lax,sure-lax,sure-lax,surem,subutex
sustanon                           /00418401/,Non,,sustanon,sustain,sustol,sustac,sustac
"symbicort turbuhaler ""draco""",1,,symbicort,symbicort,symbicort,symbicort,symbicort
symphytum officinale,Non,,symfi,symfi,symfi,"sympathomimetics, plain",sympathomimetics
synap,Non,,synera,synera,synera,synera,synera
synkapton,Non,,synastone,synastone,sylatron,synacthen,syntocinon
talniflumate,Non,,talbutale,tiamate,tiamate,talbutal,talastine
tamarine                           /00912601/,Non,,tar,tacrine,tamurex,tasmar,tacrin
tamipool,Non,,tamiflu,timoptol,timoptol,tao,tambocor
taraxacum officinale,Non,,targaxan,taractan,tarsum,tarcil,tarsum
targin,Non,,targiniq,targiniq,targiniq,targretin,targinact
taxol w/carboplatin,2,,taxol a,taxol,"taxol, bris",oxalatoplatin,tavaborole topical
td polio adsorbed,Non,,iodosorb,tpa,tpa,tilodol sr,tilodol sr
"tea, green",Non,,teargen ii,teat guard,termene,tears renewed,statuss green
tealine,Non,,terbutaline,terbutaline,teramine,tetcaine,tetcaine
tears natural ii,1,,tears naturale,tears naturale pm,tears naturale forte,tears naturale forte,tears naturale forte
tears naturale                     /00635701/,1,,tears naturale,tears naturale pm,tears naturale forte,tears naturale forte,tears naturale forte
technetium tc 99m,1,,technetium tc 99m o(4),technetium tc 99m hmpao,technetium tc 99m disida,technetium tc 99m succimer,technetium tc^99m^ dmsa
technetium tc 99m pyrophosphate,1,,technetium (99mtc) pyrophosphate,technetium tc 99m hmpao,technetium tc 99m bicisate,technetium tc 99m sestamibi,technetium tc 99m tetrofosmin
temigran,Non,,tigan,tempra,temaril,metran,meticrane
tenston,Non,,testolin,tencon,testro,tensomex,tensopril
terbolan,Non,,terbutalin,terbutalin,terbasmin,terbasmin,terbutalina
terpin hydrate,Non,,protein hydrolysate,protein hydrolysates,teril ret,terpin & codeine,teriparatide
terra-cortril                      /00163101/,1,,terra-cortril,terra-cortril,terra-cortril,terra-cortril,terra-cortril
terra-cortril                      /00256101/,1,,terra-cortril,terra-cortril,terra-cortril,terra-cortril,terra-cortril
tetrofosmin,Non,,tetrasine,tetrasine,tetrasine,terazoosin,tetracosactin
teveten                            /01679701/,1,,teveten,teveten hct,teveten hct,ten,temetex
thalamonal,Non,,thalitone,tha,thacapzol,thalidomide (antileprotic),thiamazol
thallium,Non,,thalomid,thalidomidum,thalidomide,thenalidinum,thenalidinum
thallous chloride (201 tl),1,,thallium (201tl) chloride,tha,thimerosal (product),thalidomide (substance),thc
the vision formula,Non,,thein,theine,thelin,the magic bullet,the magic bullet
thenoic acid,Non,,ethoic acid,ethoic acid,chenic acid,phenic acid,phenic acid
theophylline ephedrine,2,,theophylline ethylamphetamine,theophylline,theophylline ethylenediamine,theophyllin,theophylline [chemical/ingredient]
theragran                          /00554301/,Non,,thera-d,theracort,theracort,theracort,thera-sal
thioglycolic acid,Non,,thioctic acid,thiocolchicoside,ioglicic acid,"thioglucose, gold",d-thioctic acid
thiotriazoline,Non,,thioridazine,thioridazin,thiotal,thiotal,thioridazinum
thymus extract,Non,,thymoglobulin (rabbit),thymopentin,thymoxamine,thymoxamine,thymoxyalcylamine
thyreotom                          /06398601/,Non,,thyreotropin,thyroid,thyrotropin,thyrotropin,thyrotrophin
tianeptine sodium,1,,tianeptine,tianeptine (substance),teniposidum,tizanidinum,"nitrite, sodium"
tiger balm                         /00734101/,Non,,tig,tigecyclinum,tg,tigecycline,tigeciclina
tilade mint                        /01189701/,1,,tilade,tilade,tilade,tilad,tilad
tipepidine hibenzate,1,,tipepidine,ticlopidina,tinidazole [chemical/ingredient],tinidazole [chemical/ingredient],tizanidine
tirofiban hydrochloride,1,,tirofiban,acriflavine hydrochloride,tirofibanum,tirofiban [chemical/ingredient],tirofiban (substance)
tiropramide hydrochloride,1,,tiropramide,tiropramide (substance),histamine dihydrochloride,orphenadrine hydrochloride,iopamidol
titralac                           /00183701/,1,,titralac,titralac,titralac plus,titralac plus,tac
tixocortol pivalate,1,,tixocortol,tixocortol,"tixocortol, combinations",tixocortol [chemical/ingredient],tixocortol [chemical/ingredient]
tobramycin sulfate,3,,tobramycine,tobramycine,tobramycin,tobramycin,tobramycin (substance)
tonopan                            /00680101/,Non,,tonocard,tpa,tpa,tonpular xl,tonics
topaal,Non,,topal,topamax,topicale,topicale,topicale
toplexil                           /01627901/,Non,,topal,toprol,topfit,topfit,topfit
topotecan hydrochloride,1,,topotecan,topotecane,topotecanum,toposar,topotecan [chemical/ingredient]
tosufloxacin,Non,,ofloxacin,ofloxacin,ofloxacin,ofloxacine,ofloxacine
tosufloxacin tosilate,Non,,ofloxacino,ofloxacino,ofloxacino,ofloxacin otic,ofloxacin otic
tot'hema,Non,,torem,tolmetina,tolmetina,totamol,tomoxetina
totelle,Non,,totect,upostelle,totacillin,totacillin,natelle
trace elements,1,,trace metals,trace metals,tracleer,triacet,triacet
trachitol,Non,,tractocile,tachosil,tachosil,tarcil,trancopal
traction,Non,,trolactin,trabectedin,trancot,triactin,triactin
traumeel,Non,,trace metal,trace metal,tramquel sr,tramquel sr,tramake
travad phosphate,Non,,aralen phosphate,travatan,travasol 10,travasol 10,travasol 10
travad phosphate enema,Non,,travoprost ophthalmic,travatan,traveleeze,travasol 10,travasol 10
travocort,Non,,travoprost,travoprostum,trilocort,trilocort,trilocort
tri-penilenta,Non,,tri-minulet,tri-minulet,tri-minulet,tripelennamin,tripelennamin
tricaine-mps,Non,,triadine,triadine,triadine,triadine,triadine
triclocarban,Non,,triclosan,triclosan,tricor,trichlor,triclosanum
tricyclic antidepressants,non-selective monoamine reuptake inhibitors,,tricalcium citrate,triciene,triaminic expectorant,triaminic expectorant,triacetyl uridine
trifamox ibl                       /06421501/,1,,trimox,triam,triam,triam,triam
trigonella foenum-graecum,Non,,triamcinolonum,triamcinolonum,triamcinolonum,triamcinolonum,triamcinolonum
trihemic-600,Non,,trihexy-2,tritec,tri-med,tri-med,tri-med
trimecaine,Non,,trimeprazine,trimetazidine,trimethadione,trimebutine,trimethadion
trimeperidine,Non,,trimeprimina,trimeprimine,trimeproprimine,trimipramine,trimepranol
trimix                             /01591901/,Non,,trimox,trimpex,trimedin,triam,triam
trimovate                          /00456501/,1,,trimovate,trimopan,trivase,trivase,triatec
triobe                             /01502401/,Non,,trionate,trionate,trien,trioxin,trioxin
triprolidine hydrochloride,1,,triprolidine,triprolidin,triprolidine (obsolete),tripolidina,triprolidinum
trisekvens                         /00441501/,Non,,tris,tris,trisequens,trisenox,trisequens fte
triticum aestivum,1,,triticum (wheat fibre),tritace,triumeq,triumeq,triumeq
tromcardin                         /00196901/,Non,,trocaine,trocaine,trocaine,trocaine,trovan
trophicard,Non,,tropicamid,tropicamida,tropicamide,tropicamidum,tropicacyl
ts 1,Non,,atuss 12 dx,atuss 12 dx,at 10,tuss hc,tuss hc
ts-1                               /02422201/,Non,,tsh,tspa,t-dm1,tstat,tstat
tuseran,Non,,tustan,tustan,tussend,tussabron,tussar
tussend                            /00347401/,1,,tussend,tussend,tussend,tussin v,tussin v
tussex cough,Non,,tusso hc,tusso hc,tusso c,tusso c,tuss hc
tussionex                          /00140501/,1,,tussionex,tussionex,tussirex,tussirex,tussirex
tussionex                          /01623001/,1,,tussionex,tussionex,tussirex,tussirex,tussirex
tussionex pennkinetic,1,,tussionex,tussionex,tussin pediatric,tussin pe,tussin pe
twinpal,Non,,twinrix paed,tuinal,tuinal,twinject,twinject
twinrix,1,,twinrix paed,twinrix adult,kinrix,kinrix,twinject
tylenol pm                         /01088101/,1,,tylenol pm,tylenol pm,tylenol pm,tylenol,tylenol cough
tylex                              /00547501/,1,,tylex,tylox,tylefon,tylefon,tylenol cold infants reformulated jun 2007
tylox                              /00446701/,1,,tylox,tylox,tyloxapol,tylophen,tyloxapol (substance)
typhoid vaccine,1,,typhoid vaccines,typhim vi,typh,"typhoid, inactivated, whole cell","typhoid, oral, live attenuated"
tyrosine,Non,,metyrosine,"tyrosine, 3,5-diiodo-",terazosine,térazosine,tyzine
tyrozets,Non,,tyrothricin,tyrothricin,tyrothricin,tyrodone expectorant,tyrodone expectorant
u-pasta,Non,,u-pa,upa,buplast,buplast,u-plasminogen activator
ulmus rubra,Non,,pulmicort turbuhaler,pulmicort turbuhaler,pulmicort turbuhaler,pulmicort turbuhaler,ultrabrom
ulobetasol propionate,1,,ulobetasol,clobetasol prop,clobetasol prop,ulobétasol,ulobetasolum
ultraproct                         /00225401/,1,,ultraproct,ultracet,ultram,ultra mop,ultra mop
ultraproct                         /01707601/,1,,ultraproct,ultracet,ultram,ultra mop,ultra mop
ultraviolet light,Non,,ultracet,ultracet,ultramol,ultravate,ultrase
ultraviolet-b treatment,Non,,ultracet,ultracet,ultramol,ultra tears,ultrase
unacid                             /00917901/,Non,,nac,nac,nac,unifed,unasyn
unienzyme                          /00873001/,Non,,unipen,unichem,unichem,univer,unisom
unimax,Non,,unilax,urimax,urimax,urimax,urimax
unseiin,Non,,un-aspirin,uni-mint,uni-mint,unituxin,nebicin
unspecified herbal,Non,,unspec drug code,fucidin h,fucidin h,unifed,uni serp
ural                               /00388201/,Non,,uralgic,uralgic,uralgic,uralgic,uralgic
uralyt                             /01779901/,Non,,uralgic,uralgic,uralgic,uralgic,uralgic
uretren comp.,Non,,uretron,uretron,uretron,uretron,uretron
urgenin                            /00135401/,Non,,urea,urea,urex,urogesic,urantoin
urinary antiseptics and antiinfectives,Non,,urinary plasminogen activator,urinary concrement solvents,urin ds,urin ds,urin ds
uv light therapy,Non,,liver therapy,bile therapy,rightstep,rightstep,rightstep
uv-a light,Non,,valicot,valni,uramit,uramit,uramit
uv-b light,Non,,oc eight,jublia,novoeight,sublimate,vzig
vaccin ipad d.t.c.,Non,,"vaccine, bcg",vaccines,"vaccine, diphtheria","vaccine, rubella","vaccine, calmette's"
vaginoplasty,Non,,vaginyl,vaginyl,vaginyl,vaginyl,vaginyl
valeriana officinalis extract,Non,,valerianae radix,valenac,valenac,valenac,valenac
valerianae comp.,Non,,valerianae radix,valenac,valenac,valenac,valenac
valganciclovir hydrochloride,1,,valganciclovir hcl,valganciclovir,valganciclovir in oral dosage form,valaciclovir,valganciclovir (substance)
valoron n,Non,,valorin extra,valorin extra,loron,valoid,vasocon a
vancomycin hydrochloride,1,,vancomycin hcl,vancomycin hcl,vancocin hcl,vancocin hcl,vancomycin
vascular stent insertion,Non,,vasaten,vascace,vascardin,vascardin,"vasopressin, ornithine"
vaseline intensive care,1,,vaseline,"vasopressin, 8-l-ornithine-","vasopressin, arginine",vaseretic,vaseretic
vasobrix,Non,,vascor,vasolex,vasolex,vasoxyl,vasolex
vasopressin,1,,"vasopressin, lysyl","vasopressin, lysine","vasopressin, arginine","vasopressin, 8-lysine","vasopressin, ornithine"
vecuronium bromide,1,,vecuronium brom,vecuronium,vecuronium (substance),vecuronium in parenteral dosage form,pipecurium bromide
veen 3g,Non,,veregen,velbe,vensir xl,veteran shield 24,veteran shield 24
veganin                            /00055401/,1,,veganin,vega,vega,vega,vega
veinotonyl,Non,,ventolin,ventolin,minoton,vetoryl,vetropolycin
velmetia,Non,,veletri,veltin,veltin,veltin,veltin
velosalic,Non,,velosulin,velosulin,velosulin,velosulin,velosulin
vena cava filter insertion,Non,,venlafaxine tablet,venofer,venlafaxine m/r capsule,ventavis,venlafaxina
venalot                            /00843801/,Non,,venaxx xl,ventra,ventuss,vendone,ventuss
venalot                            /06844701/,Non,,venaxx xl,ventra,ventuss,vendone,ventuss
venos expectorant,Non,,entuss expectorant,entuss expectorant,endal expectorant,endal expectorant,endal expectorant
venostasin                         /00097701/,Non,,venoruton,ventra,venoruton p4,vendone,vendone
venyl,Non,,aventyl,venelex,vecamyl,vetoryl,ventolair
vepicombin                         /00197201/,Non,,vicodin,vicodin,epib,pob,pmb
veramid,Non,,verapamil,verapamilo,verapamilum,veralipride,metramid
vertigoheel                        /00691301/,Non,,vertine,verticalm,verteporphin,vertab sr,verteporfin
vi-siblin                          /00222601/,Non,,vi-sudo,vi-sudo,visine,vibal,isib
vibrocil                           /01086201/,Non,,vibrox,vibramycin,vibramycin,vibal,vibramycin-d
viccillin-s,Non,,bicillin-5,bicillin,bicillin,vitacilina,vitacilina
vicks formula 44m                  /01056501/,1,,vicks formula 44,vicks,vicks,vicks 44e,vicks 44e
vicks inhaler,1,,vicks,vicks,vicks,vicks 44e,vicks 44e
vigran,Non,,virgan,viranol,viranol,vigantol,vigabatrin
vinblastine sulfate,1,,vinblast sulf,vinblastina,vinblastine,vinblastine (substance),vinblastin
vincents                           /00110301/,Non,,vincasar,vincristin,vincristine,vincristina,vincamine
vindesine sulfate,1,,vindesine sulf,vindesine (substance),vindesine,vindesin,vincristine sulf
vinorelbine tartrate,2,,vinorelbina,vinorelbine,vinorelbin,vinorelbine (substance),vinorelbinum
vioform+hydrocortisone,1,,vioform-hydrocort,vioform-hydrocort,vioform-hydrocort,9-fluorohydrocortisone,9 fluorohydrocortisone
virasolve,Non,,virazole,viranol,virasal,virasal,virasorb
viscoat                            /00936401/,1,,viscoat,viscogel,viscogel,viscotears,visco-gel
viscoat                            /01834201/,1,,viscoat,viscogel,viscogel,viscotears,visco-gel
visine true,1,,visine,visine,visine,visine pure tears,visine pure tears
visipaque                          /01225301/,Non,,visine,visine,visine,visage,visine ac
vitacal+d                          /05496101/,Non,,vita e,vita-d,vitae,vitazol,vitapap
vitamedin,Non,,vitamins,vitamins,vitamin e,vitamin g,vitamin h
vitamin b                          /90046501/,1,,vitamin b 1,vitamin b 3,vitamin b 2,vitamin b1,vitamin b3
"vitamin b-complex, incl combinations",1,,"vitamin b-complex, incl. combinations","vitamin b-complex, other combinations","vitamin b-complex, plain",vitamin b-complex with minerals,vitamin b-complex with anabolic steroids
vitamin c w/vitamin d nos/vitamin e,Non,,vitamin a/vitamin d oral liquid,vitamin a/vitamin d oral tablet,vitamin a/vitamin d oral liquid,vitamin a/vitamin d oral tablet,vitamin a/vitamin d oral liquid
vitamin f,Non,,vitamin a,vitamin c,vitamin e,vitamin g,vitamin h
vitamin k nos,Non,,vitamin b12 nos,vitamin k,vitamin k 1,vitamin k 3,vitamin k antagonists
vitamin-b-complex standard,Non,,vitamin a,vitamin a,vitamin a,vitamin a,vitamin bt
vitamin-b-komplex standard,Non,,vitamin a,vitamin a,vitamin a,vitamin a,vitamin bt
vitamins                           /90003601/,Non,,vitamins,vitamins,vitamin e,vitamin g,vitamin h
vitaminum                          /01692601/,Non,,vitamin m,vitamin c,vitamin e,vitamin g,vitamin h
vitathion                          /06366901/,Non,,vita e,vitamin c,vitamin e,vitamin g,vitamin c
vitcofol,Non,,vitazol,vitazol,vitazol,vitazol,vitazol
vitergan master,Non,,vira a,vira a,viraa,viraa,vitravene
vitex agnus-castus,Non,,vit a,vita-e succinate,vita-plus e natural,vitekta,vita-e
vitis vinifera seed extract,Non,,vit a,vit e,vit e,visine tired eye relief,visine tired eye relief
vitol                              /00404001/,Non,,vit a,vit b,vit d,vitazol,vitazol
vitreolent                         /00644801/,Non,,vitron-c,vitron-c,vitron-c,vitron-c,vitron-c
vivimed                            /00056301/,Non,,vividrin,vivicrom,vividrin,vividrin,vivitrol
vosol hc otic,1,,vosol hc,vosol hc,vosol hc,vosol hc,vosol hc
water,Non,,wte,wartec,wartex,wartex,wilate
water bath hydrotherapy,Non,,"watersoluble, hepatotropic x-ray contrast media","watersoluble, nephrotropic, high osmolar x-ray contrast media",atra,wartrol,wartrol
water for injection,Non,,warfarin,"watersoluble, nephrotropic, high osmolar x-ray contrast media",aerodine,aerodine,aerodine
"watersolu.,nephrot.,low osm.x-ray contrastm.",1,,"watersoluble, nephrotropic, low osmolar x-ray contrast media","watersoluble, nephrotropic, high osmolar x-ray contrast media",wal-sleep z,wal-sleep z,trp
white soft paraffin,Non,,white arsenic,white mineral oil,whitfields ointment,whitfields ointment,whitfield's ointment
wick formel 44 plus                /01199201/,Non,,ikorel,omep,fml,fml,fml
wobenzym                           /00598501/,Non,,w,e,e,coenzyme r,enzymes
wobenzym                           /02140101/,Non,,w,e,e,coenzyme r,enzymes
wobenzym n                         /01199401/,Non,,w,e,e,coenzyme r,enzymes
wool fat,Non,,wood creosote,dolono infant,zoloft,wilate,wilate
wound drainage,Non,,condrin,condrin,rondamine,rondamine,konsyl orange
xalacom,Non,,alacol,alacol,alacol,alacol,alacol
xantocillin,Non,,oxacillin,xanthacridinum,xanthotoxin,xanthotoxin,oxacilline
xin pa er ke,Non,,xipamide,xs pain reliever,cinaziere,xenaderm,oxine
xylitol,Non,,xylon,xylon,xylon,xylon,xylon
xylocaine-epinephrine,1,,xylocaine with epinephrine,xylocaine with epinephrine,xylocaine with epinephrine,xylocaine with epinephrine,xylocaine with epinephrine
yeast and iron,Non,,yeast-x int,yeast-x int,yeast-x int,yeast-x int,yeast-x int
yellon                             /01043001/,Non,,yellox,yellow fever vaccine,yellow fever vaccine live,yellow fever vaccine product,"yellow fever, live attenuated"
yellow phenolphthalein,Non,,yellow fever,yellow fluorescein,yellow fever vaccines,yellow fever vaccine product,"yellow fever, live attenuated"
z-bec                              /00502701/,Non,,bc,bc,bc,bc,z-cof
zacpac,Non,,zacco,zantac,zaptec,zaptec,zapain
zea mays extract,Non,,zeasorb,zeasorb,zeasorb,zeasorb,zeasorb
zeel,Non,,zentel,zeebral xl,zelleta,zoely,zelmac
zeet expectorant                   /02195001/,Non,,zetran,zebeta,zemon,zephiran,zephiran
zefnart,Non,,zensa,zensa,zensa,zensa,zensa
zetitor,Non,,zetia,zepatier,zibor,zetacet,zetacet
zheng ju pian,Non,,zn,ng,ng,zonegran,phenargan
zicam                              /01792001/,Non,,zicam cough,zicam cough plus d,zicam cough plus d,zicam cough plus d,zicam cough plus d
zidovudine w/lamivudine,1,,zidovudine and lamivudine,"zidovudine, lamivudine and abacavir","zidovudine, lamivudine and nevirapine",zidovudine,zidovudin
zinc amino acid chelate,Non,,zinc omadine,zinc (as zinc acetate),zinc acetate topical,zinc acetate [chemical/ingredient],zincaband
zinc oxide ointment,Non,,zincon,zinc protein complex,zinc pyridinethione,zinc,zinc compound
zipio-g,Non,,zipsor,zipsor,zipsor,zipsor,ziprasidona
zotarolimus,Non,,zolim,brotizolamum,tacrolimus,tacrolimus,deforolimus
